artifact,report_section,question,chart_type,source,supported_claim
results/figures/report_fund_return_volatility.png,Fund comparison,How do the 13 funds compare on net annualised return and volatility?,Scatter,performance_metrics.csv; fund_catalog.csv,Risk and return differ materially across universes; no chart point establishes a universally best fund.
results/figures/report_selected_growth.png,Fund comparison,How did representative Risk Parity funds compound?,Multi-series line,fund_returns.csv,Representative funds followed materially different compounded paths.
results/figures/report_selected_drawdown.png,Fund comparison,How severe were representative fund drawdowns?,Multi-series line,fund_returns.csv,Crypto Risk Parity carried substantially deeper drawdown risk.
results/figures/report_equity_weights_over_time.png,Portfolio construction,How did monthly Equity targets change across methods?,Small-multiple line,fund_weights.csv,"Methods produced distinct, time-varying target allocations."
results/figures/report_materials_sentiment_index.png,Sentiment evidence,What does a coverage-aware sector sentiment history look like?,Gap-preserving line,sector_sentiment_index.csv,Missing news remains visible rather than being replaced with a neutral score.
results/figures/report_materials_trading_signal.png,Sentiment evidence,What signal is available for trading after lag and carry?,Line with carry markers,sector_sentiment_signal.csv,"The tradable signal is causal, lagged, and subject to bounded carry."
results/figures/report_materials_coverage.png,Sentiment evidence,How complete is sector headline coverage?,Area and line,sector_sentiment_index.csv,Coverage varies materially over time and qualifies the sentiment index.
results/figures/report_all_sector_sentiment_small_multiples.png,Appendix — sentiment evidence,Does the standalone finance-sentiment index cover every equity sector?,Gap-preserving line small multiples,sector_sentiment_index.csv,The finance-VADER index covers all ten equity sectors while genuine missing dates remain visible as gaps.
results/figures/fusion_growth_of_one.png,Fusion evidence,Did the fixed overlay improve compounded performance?,Multi-series line,fund_returns.csv; fusion_comparison.csv,The augmented fund ended below the base fund in this OOS sample.
results/figures/fusion_drawdown.png,Fusion evidence,Did the fixed overlay improve drawdown?,Multi-series line,fund_returns.csv; fusion_comparison.csv,The augmented net maximum drawdown was slightly deeper.
results/figures/fusion_sector_multiplier_activity.png,Fusion evidence,When and where did the fixed overlay alter sector exposure?,Time-series marker plot,fusion_sector_multipliers.csv,The bounded rule generated active and neutral multipliers without retuning.
results/figures/report_fusion_latest_weight_changes.png,Fusion evidence,Which latest targets changed most?,Diverging horizontal bar,fusion_current_holdings.csv,The latest overlay changes are modest stock-level reallocations.
results/figures/report_allocation_example.png,Investor app,How does an illustrative fund allocation compound on a common OOS period?,Growth and drawdown panels,fund_returns.csv via app_utils.py,"The app can simulate, but does not optimise or recommend, a fund allocation."
