stage,universe,date,fund_id,ticker,check_name,observed_value,status,message
etl,crypto_prices,,,,clean_duplicate_ticker_date_rows,0,pass,Clean ticker-date keys are unique.
etl,crypto_prices,,,,clean_rows,14610,pass,Rows after deterministic cleaning and sample cap.
etl,crypto_prices,,,,first_date,2020-01-01 00:00:00,pass,First cleaned observation date.
etl,crypto_prices,,,,last_date,2023-12-31 00:00:00,pass,Last cleaned observation date; not later than 2023-12-31.
etl,crypto_prices,,,,nonfinite_numeric_cells,0,pass,Non-finite non-key numeric cells are audited; adjusted close is always finite.
etl,crypto_prices,,,,raw_exact_duplicate_rows,0,pass,Exact row duplicates observed before cleaning.
etl,crypto_prices,,,,raw_rows,14620,pass,Rows supplied by the official loader.
etl,crypto_prices,,,,removed_duplicate_key_rows,0,pass,Only identical ticker-date duplicates may be collapsed.
etl,crypto_prices,,,,removed_missing_required_rows,0,pass,"Ticker, date, and adjusted close are required."
etl,crypto_prices,,,,removed_outside_sample_rows,10,pass,Rows outside 2020-01-01 through 2023-12-31 are excluded.
etl,crypto_prices,,,,unique_tickers,10,pass,Distinct cleaned ticker count.
etl,equity_prices,,,,clean_duplicate_ticker_date_rows,0,pass,Clean ticker-date keys are unique.
etl,equity_prices,,,,clean_rows,50300,pass,Rows after deterministic cleaning and sample cap.
etl,equity_prices,,,,first_date,2020-01-02 00:00:00,pass,First cleaned observation date.
etl,equity_prices,,,,last_date,2023-12-29 00:00:00,pass,Last cleaned observation date; not later than 2023-12-31.
etl,equity_prices,,,,nonfinite_numeric_cells,0,pass,Non-finite non-key numeric cells are audited; adjusted close is always finite.
etl,equity_prices,,,,raw_exact_duplicate_rows,0,pass,Exact row duplicates observed before cleaning.
etl,equity_prices,,,,raw_rows,50300,pass,Rows supplied by the official loader.
etl,equity_prices,,,,removed_duplicate_key_rows,0,pass,Only identical ticker-date duplicates may be collapsed.
etl,equity_prices,,,,removed_missing_required_rows,0,pass,"Ticker, date, and adjusted close are required."
etl,equity_prices,,,,removed_outside_sample_rows,0,pass,Rows outside 2020-01-01 through 2023-12-31 are excluded.
